number,post date,ex/eff date, title
55450,Oct-30-2024,Oct-31-2024,"Zura Bio Limited - Flex Position Consolidations Option Symbol: 1ZURA"
55439,Oct-29-2024,Oct-30-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
55430,Oct-28-2024,Oct-29-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
55423,Oct-24-2024,Oct-28-2024,"New York Community Bancorp, Inc. - Name/Symbol Change Option Symbols: NYCB/NYCB1 New Symbols: FLG/FLG1"
55422,Oct-24-2024,Oct-25-2024,"Osisko Gold Royalties Ltd - Flex Position Consolidation Option Symbol: 1OR"
55419,Oct-23-2024,Oct-24-2024,"Ocuphire Pharma, Inc. - Name/Symbol Change Option Symbol: OCUP New Symbol: IRD"
55418,Oct-23-2024,Oct-24-2024,"Multiple Flex Position Consolidations"
55408,Oct-22-2024,Oct-23-2024,"LifeStance Health Group, Inc. - Flex Position Consolidations Option Symbol: 1LFST"
55399,Oct-21-2024,Oct-22-2024,"Multiple Flex Position Consolidations"
55373,Oct-17-2024,Oct-18-2024,"Multiple Flex Position Consolidations"
55372,Oct-17-2024,Oct-21-2024,"Amplify Global Cloud Technology ETF - Name/Symbol Change Option Symbol: IVES New Symbol: AIVC"
55367,Oct-16-2024,,"Acceleration of Expirations/October 2024 Expiration"
55358,Oct-14-2024,Oct-15-2024,"SMART Global Holdings, Inc. - Name/Symbol Change Option Symbol: SGH New Symbol: PENG"
55345,Oct-11-2024,Oct-14-2024,"S&P 500 MINI INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4XSP"
55340,Oct-10-2024,Oct-11-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
55338,Oct-09-2024,Oct-10-2024,"Invesco QQQ Trust - Flex Position Consolidation Option Symbol: 1QQQ"
55334,Oct-08-2024,Oct-09-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
55325,Oct-07-2024,Oct-09-2024,"Virios Therapeutics, Inc. - Reverse Split and Name/Symbol/CUSIP Change Option Symbol: VIRI New Symbol: DWTX1"
55321,Oct-04-2024,Oct-07-2024,"Reneo Pharmaceuticals, Inc. - Reverse Split and Name/Symbol/CUSIP Change Option Symbol: RPHM New Symbol: OKUR1"
55310,Oct-02-2024,Oct-03-2024,"S&P 500 MINI INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4XSP"
55307,Oct-01-2024,Oct-01-2024,"Southwestern Energy Company - Contract Adjustment Option Symbols: 10/01/2024 - SWN/2SWN remains SWN/2SWN 10/02/2024 - SWN/2SWN becomes EXE1/2EXE1 * * * Update * * *"
55306,Oct-01-2024,Oct-02-2024,"Chesapeake Energy Corporation - Name/Symbol Change Option Symbol: CHK New Symbol: EXE"
55305,Oct-01-2024,Oct-02-2024,"American Software, Inc. - Name/Symbol Change Option Symbol: AMSWA New Symbol: LGTY"
