Old Ticker,New Ticker,Effective Date
BRTS,MYDX,4/24/2015
SLNR,SLNRE,4/23/2015
INF.V,INF.R,4/23/2015
IFAN,IFANE,4/23/2015
CAK,ERN,4/23/2015
TTHXE,TTHX,4/22/2015
STXYD,KTLC,4/22/2015
STXY,KTLC,4/22/2015
SGRBE,SGRB,4/22/2015
PMCMD,PMCM,4/22/2015
HANOE,HANO,4/21/2015
WEDG,WEDGE,4/20/2015
TTHX,TTHXE,4/20/2015
SGRB,SGRBE,4/20/2015
SGBHF,SGBHE,4/20/2015
ROII,ROIIE,4/20/2015
QUORD,QUOR,4/20/2015
PZG.V,PZG,4/20/2015
OVRIE,WEDGE,4/20/2015
OVRI,WEDGE,4/20/2015
OVET,MDCRE,4/20/2015
ONLI,ONLIE,4/20/2015
OCAQ,CPAIE,4/20/2015
NEMD,NEMDE,4/20/2015
MTCP,MTCPE,4/20/2015
MDITD,MDITE,4/20/2015
MDIT,MDITE,4/20/2015
MDCR,MDCRE,4/20/2015
MCPI,MCPIE,4/20/2015
ITUP,ITUPE,4/20/2015
IDOI,IDOIE,4/20/2015
HJOE,HJOEE,4/20/2015
HANO,HANOE,4/20/2015
GEIGD,GEIGE,4/20/2015
GEIG,GEIGE,4/20/2015
DRNK,DRNKE,4/20/2015
CYOE,MDITE,4/20/2015
CTBM,NEMDE,4/20/2015
CPAI,CPAIE,4/20/2015
CDNL,CDNLE,4/20/2015
BBLS,BBLSE,4/20/2015
APPZD,APPZE,4/20/2015
APPZ,APPZE,4/20/2015
APPG,APPGE,4/20/2015
AMIBE,AMIB,4/20/2015
ACSX,ACSXE,4/20/2015
GASE,GASEE,4/17/2015
DMRNE,CQGU,4/17/2015
DMRND,CQGU,4/17/2015
DMRN,CQGU,4/17/2015
TCNTE,TCNT,4/16/2015
OREOE,AVDX,4/16/2015
OREOD,AVDX,4/16/2015
OREO,AVDX,4/16/2015
LFGHE,LFGH,4/16/2015
GEIGD,GEIG,4/16/2015
AVDXE,AVDX,4/16/2015
TCNT,TCNTE,4/15/2015
OREOE,AVDXE,4/15/2015
OREOD,AVDXE,4/15/2015
OREO,AVDXE,4/15/2015
LFGH,LFGHE,4/15/2015
CTEI,CTEID,4/15/2015
AVDX,AVDXE,4/15/2015
SMAKE,SMAKD,4/14/2015
SMAK,SMAKD,4/14/2015
TTM.V,TTM.R,4/13/2015
PTOOE,PTOO,4/13/2015
CBRX,JNP,4/13/2015
TPMDD,DPWW,4/10/2015
TPMD,DPWW,4/10/2015
OREOE,AVDX,4/10/2015
OREOD,AVDX,4/10/2015
OREO,AVDX,4/10/2015
FRCV,FVCB,4/10/2015
OREOE,OREO,4/9/2015
OREOD,OREO,4/9/2015
MLCG,MLCGD,4/9/2015
EXSL,EXSLD,4/9/2015
MDITD,MDIT,4/8/2015
EBMLD,EBML,4/8/2015
CYOE,MDIT,4/8/2015
VLCCF,GOGL,4/7/2015
