old_ticker,new_ticker,ex/eff_date,post_date,title,Classification
ZEST,BNMV,Mar-21-2023,Mar-20-2023,"Ecoark Holdings, Inc. - Name/Symbol Change Option Symbol: ZEST New Symbol: BNMV",Pure
MCG,SHCO,Mar-20-2023,Mar-17-2023,Membership Collective Group Inc. - Symbol Change Option Symbol: MCG New Symbol: SHCO,Pure
KMPH,ZVRA,Mar-01-2023,Feb-28-2023,"KemPharm, Inc. - Name/Symbol Change Option Symbol: KMPH New Symbol: ZVRA",Pure
RCII,UPBD,Feb-27-2023,Feb-24-2023,"Rent-A-Center, Inc. - Symbol Change Option Symbol: RCII New Symbol: UPBD",Pure
BCOR,AVTA,Jan-26-2023,Jan-25-2023,"Blucora, Inc. - Name/Symbol Change Option Symbol: BCOR New Symbol: AVTA",Pure
SMFR,WGS,Jan-10-2023,Jan-09-2023,Sema4 Holdings Corporation - Name/Symbol Change Option Symbol: SMFR New Symbol: WGS,Pure
LPI,VTLE,Jan-09-2023,Jan-06-2023,"Laredo Petroleum, Inc. - Name/Symbol Change Option Symbol: LPI New Symbol: VTLE",Pure
DNAY,TBIO,Jan-04-2023,Jan-03-2023,"Codex DNA, Inc. - Name/Symbol Change Option Symbol: DNAY New Symbol: TBIO",Pure
NILE,AULT,Jan-03-2023,Dec-23-2022,"BitNile Holdings, Inc. - Name/Symbol Change Option Symbol: NILE New Symbol: AULT",Pure
TBK,TFIN,Dec-02-2022,Dec-01-2022,"Triumph Bancorp, Inc. - Name/Symbol Change Option Symbol: TBK New Symbol: TFIN",Pure
LNDC,LFCR,Nov-15-2022,Nov-14-2022,Landec Corporation - Name/Symbol Change Option Symbol: LNDC New Symbol: LFCR,Pure
XL,SPRU,Nov-14-2022,Nov-11-2022,XL Fleet Corp. - Name/Symbol Change Option Symbol: XL New Symbol: SPRU,Pure
SBTX,SPRY,Nov-09-2022,Nov-08-2022,"Silverback Therapeutics, Inc. - Name/Symbol Change Option Symbol: SBTX New Symbol: SPRY",Pure
NLOK,GEN,Nov-08-2022,Nov-07-2022,NortonLifeLock Inc. - Name/Symbol Change Option Symbol: NLOK New Symbol: GEN,Pure
WETF,WT,Nov-07-2022,Nov-04-2022,"WisdomTree Investments, Inc. - Name/Symbol Change Option Symbol: WETF New Symbol: WT",Pure
GBOX,RVYL,Oct-24-2022,Oct-21-2022,GreenBox POS - Name/Symbol Change Option Symbol: GBOX New Symbol: RVYL,Pure
WRE,ELME,Oct-20-2022,Oct-17-2022,Washington Real Estate Investment Trust - Name/Symbol Change Option Symbol: WRE New Symbol: ELME,Pure
ADGI,IVVD,Sep-13-2022,Sep-12-2022,"Adagio Therapeutics, Inc. - Name and Symbol Change Option Symbol: ADGI New Symbol: IVVD",Pure
SYNL,ACNT,Aug-11-2022,Aug-10-2022,Synalloy Corporation - Name/Symbol Change Option Symbol: SYNL New Symbol: ACNT,Pure
GIGE,BYOB,Aug-09-2022,Aug-08-2022,SoFi Gig Economy ETF - Name/Symbol Change Option Symbol: GIGE New Symbol: BYOB,Pure
MITC,STKH,Aug-03-2022,Aug-02-2022,MeaTech 3D Ltd. - Name/Symbol Change Option Symbol: MITC New Symbol: STKH,Pure
NRZ,RITM,Aug-02-2022,Aug-01-2022,New Residential Investment Corporation - Name/Symbol Change Option Symbol: NRZ New Symbol: RITM,Pure
CRTX,QNCX,Aug-01-2022,Jul-29-2022,"Cortexyme, Inc. - Name/Symbol Change Option Symbol: CRTX New Symbol: QNCX",Pure
OEG,OIG,Aug-01-2022,Jul-29-2022,"Orbital Energy Group, Inc. - Name/Symbol Change Option Symbol: OEG New Symbol: OIG",Pure
